experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda
435,4,fragcg,2019-08-04,5,3,1,0,0.001,1000
436,4,fragcg,2019-08-04,7,6,1,0,0.001,100
437,4,fragcg,2019-08-04,7,6,1,0,0.001,500
438,4,fragcg,2019-08-04,7,6,1,0,0.001,1000
439,4,basisip,2019-08-11,5,6,1,0,0.001,100
440,4,basisip,2019-08-11,5,6,1,0,0.001,500
441,4,basisip,2019-08-11,5,6,1,0,0.001,1000
442,4,basisip,2019-08-11,5,3,1,0,0.001,100
443,4,basisip,2019-08-11,5,3,1,0,0.001,500
444,4,basisip,2019-08-11,5,3,1,0,0.001,1000
445,4,basisip,2019-08-11,7,6,1,0,0.001,100
446,4,basisip,2019-08-11,7,6,1,0,0.001,500
447,4,basisip,2019-08-11,7,6,1,0,0.001,1000
448,4,fragcg,2019-08-11,5,6,1,0,0.001,100
449,4,fragcg,2019-08-11,5,6,1,0,0.001,500
450,4,fragcg,2019-08-11,5,6,1,0,0.001,1000
451,4,fragcg,2019-08-11,5,3,1,0,0.001,100
452,4,fragcg,2019-08-11,5,3,1,0,0.001,500
453,4,fragcg,2019-08-11,5,3,1,0,0.001,1000
454,4,fragcg,2019-08-11,7,6,1,0,0.001,100
455,4,fragcg,2019-08-11,7,6,1,0,0.001,500
456,4,fragcg,2019-08-11,7,6,1,0,0.001,1000
