varname,currtime,a,arcstartloc,arcendloc,arcstarttime,arcendtime,value
y,0,5252,23,23,12.0,18.0,38.0
y,0,5253,23,23,18.0,24.0,38.0
y,0,5254,23,23,24.0,30.0,38.0
y,0,5255,23,23,30.0,36.0,38.0
y,0,5256,23,23,36.0,42.0,38.0
y,0,5257,23,23,42.0,48.0,38.0
y,0,5258,23,23,48.0,54.0,38.0
y,0,5259,23,23,54.0,60.0,38.0
y,0,5260,23,23,60.0,66.0,38.0
y,0,5261,23,23,66.0,72.0,38.0
y,0,5262,24,24,0.0,6.0,38.0
y,0,5263,24,24,6.0,12.0,38.0
y,0,5264,24,24,12.0,18.0,38.0
y,0,5265,24,24,18.0,24.0,38.0
y,0,5266,24,24,24.0,30.0,39.0
y,0,5267,24,24,30.0,36.0,39.0
y,0,5268,24,24,36.0,42.0,38.0
y,0,5269,24,24,42.0,48.0,38.0
y,0,5270,24,24,48.0,54.0,38.0
y,0,5271,24,24,54.0,60.0,38.0
y,0,5272,24,24,60.0,66.0,38.0
y,0,5273,24,24,66.0,72.0,38.0
y,0,5274,25,25,0.0,6.0,38.0
y,0,5275,25,25,6.0,12.0,38.0
y,0,5276,25,25,12.0,18.0,38.0
y,0,5277,25,25,18.0,24.0,37.0
y,0,5278,25,25,24.0,30.0,38.0
y,0,5279,25,25,30.0,36.0,37.0
y,0,5280,25,25,36.0,42.0,36.0
y,0,5281,25,25,42.0,48.0,38.0
y,0,5282,25,25,48.0,54.0,38.0
y,0,5283,25,25,54.0,60.0,38.0
y,0,5284,25,25,60.0,66.0,38.0
y,0,5285,25,25,66.0,72.0,40.0
y,0,5286,26,26,0.0,6.0,36.0
y,0,5287,26,26,6.0,12.0,36.0
y,0,5288,26,26,12.0,18.0,33.00000000000001
y,0,5289,26,26,18.0,24.0,33.00000000000001
y,0,5290,26,26,24.0,30.0,32.00000000000001
y,0,5291,26,26,30.0,36.0,32.00000000000001
y,0,5292,26,26,36.0,42.0,31.000000067415737
y,0,5293,26,26,42.0,48.0,31.000000067415737
y,0,5294,26,26,48.0,54.0,34.00000000000001
y,0,5295,26,26,54.0,60.0,34.00000000000001
y,0,5296,26,26,60.0,66.0,36.00000000000001
y,0,5297,26,26,66.0,72.0,36.00000000000001
y,0,5298,27,27,0.0,6.0,36.0
y,0,5299,27,27,6.0,12.0,36.0
y,0,5300,27,27,12.0,18.0,36.0
y,0,5301,27,27,18.0,24.0,36.0
y,0,5302,27,27,24.0,30.0,36.0
y,0,5303,27,27,30.0,36.0,36.0
y,0,5304,27,27,36.0,42.0,36.0
y,0,5305,27,27,42.0,48.0,36.0
y,0,5306,27,27,48.0,54.0,36.0
y,0,5307,27,27,54.0,60.0,37.0
y,0,5308,27,27,60.0,66.0,37.0
y,0,5309,27,27,66.0,72.0,37.0
y,0,5310,28,28,0.0,6.0,38.0
y,0,5311,28,28,6.0,12.0,38.0
y,0,5312,28,28,12.0,18.0,37.0
y,0,5313,28,28,18.0,24.0,36.0
y,0,5314,28,28,24.0,30.0,37.0
y,0,5315,28,28,30.0,36.0,37.0
y,0,5316,28,28,36.0,42.0,37.0
y,0,5317,28,28,42.0,48.0,37.0
y,0,5318,28,28,48.0,54.0,36.0
y,0,5319,28,28,54.0,60.0,36.0
y,0,5320,28,28,60.0,66.0,36.0
y,0,5321,28,28,66.0,72.0,36.0
y,0,5322,29,29,0.0,6.0,36.0
y,0,5323,29,29,6.0,12.0,37.0
y,0,5324,29,29,12.0,18.0,37.00000002247191
y,0,5325,29,29,18.0,24.0,37.000000089887635
y,0,5326,29,29,24.0,30.0,34.00000013483146
y,0,5327,29,29,30.0,36.0,34.000000067415726
y,0,5328,29,29,36.0,42.0,34.000000067415726
y,0,5329,29,29,42.0,48.0,34.99999999999999
y,0,5330,29,29,48.0,54.0,34.99999999999999
y,0,5331,29,29,54.0,60.0,34.99999999999999
y,0,5332,29,29,60.0,66.0,34.99999999999999
y,0,5333,29,29,66.0,72.0,34.99999999999999
y,0,5334,30,30,0.0,6.0,37.0
y,0,5335,30,30,6.0,12.0,36.0
y,0,5336,30,30,12.0,18.0,34.0
y,0,5337,30,30,18.0,24.0,34.0
y,0,5338,30,30,24.0,30.0,34.0
y,0,5339,30,30,30.0,36.0,34.0
y,0,5340,30,30,36.0,42.0,34.0
y,0,5341,30,30,42.0,48.0,34.0
y,0,5342,30,30,48.0,54.0,34.0
y,0,5343,30,30,54.0,60.0,34.0
y,0,5344,30,30,60.0,66.0,35.0
y,0,5345,30,30,66.0,72.0,35.0
y,0,5346,31,31,0.0,6.0,38.0
y,0,5347,31,31,6.0,12.0,38.0
y,0,5348,31,31,12.0,18.0,39.0
y,0,5349,31,31,18.0,24.0,39.0
y,0,5350,31,31,24.0,30.0,40.0
y,0,5351,31,31,30.0,36.0,40.0
y,0,5352,31,31,36.0,42.0,39.0
y,0,5353,31,31,42.0,48.0,39.0
y,0,5354,31,31,48.0,54.0,38.0
y,0,5355,31,31,54.0,60.0,38.0
y,0,5356,31,31,60.0,66.0,38.0
y,0,5357,31,31,66.0,72.0,38.0
y,0,5358,32,32,0.0,6.0,37.0
y,0,5359,32,32,6.0,12.0,36.0
y,0,5360,32,32,12.0,18.0,35.00000024678029
y,0,5361,32,32,18.0,24.0,35.0000002022472
y,0,5362,32,32,24.0,30.0,34.0000002022472
y,0,5363,32,32,30.0,36.0,34.0000002022472
y,0,5364,32,32,36.0,42.0,35.00000024719102
y,0,5365,32,32,42.0,48.0,35.00000024719102
y,0,5366,32,32,48.0,54.0,34.999999932584274
y,0,5367,32,32,54.0,60.0,34.99999997752809
y,0,5368,32,32,60.0,66.0,36.99999997449416
y,0,5369,32,32,66.0,72.0,37.9999999298008
y,0,5370,33,33,0.0,6.0,38.0
y,0,5371,33,33,6.0,12.0,38.0
y,0,5372,33,33,12.0,18.0,37.0
y,0,5373,33,33,18.0,24.0,37.0
y,0,5374,33,33,24.0,30.0,37.0
y,0,5375,33,33,30.0,36.0,37.0
y,0,5376,33,33,36.0,42.0,37.0
y,0,5377,33,33,42.0,48.0,37.0
y,0,5378,33,33,48.0,54.0,38.0
y,0,5379,33,33,54.0,60.0,38.0
y,0,5380,33,33,60.0,66.0,38.0
y,0,5381,33,33,66.0,72.0,38.0
y,0,5382,34,34,0.0,6.0,38.0
y,0,5383,34,34,6.0,12.0,38.0
y,0,5384,34,34,12.0,18.0,38.0000000000002
y,0,5385,34,34,18.0,24.0,38.0000000000002
y,0,5386,34,34,24.0,30.0,38.0000000000002
y,0,5387,34,34,30.0,36.0,38.0000000000002
y,0,5388,34,34,36.0,42.0,38.000000000000384
y,0,5389,34,34,42.0,48.0,38.000000000000384
